Region1,Region2,Year,Area planted,Crop,Area harvested,Production,Yield
brasil,metropolitana de belem,2002,1660,corn,1660,1432,0.862
brasil,nordeste paraense,2002,35438,corn,35438,39296,1.108
brasil,sudoeste paraense,2002,29738,corn,29738,45382,1.526
brasil,sudeste paraense,2002,156582,corn,142551,235547,1.652
brasil,norte do amapa,2002,1020,corn,970,785,0.809
brasil,sul do amapa,2002,980,corn,900,685,0.761
brasil,ocidental do tocantins,2002,43405,corn,43325,72186,1.666
brasil,oriental do tocantins,2002,20875,corn,20835,54514,2.616
brasil,norte maranhense,2002,38389,corn,38389,22411,0.583
brasil,oeste maranhense,2002,84585,corn,84585,85056,1.005
brasil,centro maranhense,2002,93423,corn,93423,76717,0.821
brasil,leste maranhense,2002,80312,corn,79565,43119,0.541
brasil,sul maranhense,2002,28766,corn,28766,100015,3.476
brasil,norte piauiense,2002,35026,corn,35026,11453,0.326
brasil,centronorte piauiense,2002,62806,corn,62719,13554,0.216
brasil,sudoeste piauiense,2002,86345,corn,85905,46986,0.546
brasil,sudeste piauiense,2002,97286,corn,94311,10707,0.113
brasil,noroeste cearense,2002,137077,corn,137077,80711,0.588
brasil,norte cearense,2002,95092,corn,95092,70227,0.738
brasil,metropolitana de fortaleza,2002,8424,corn,8424,7132,0.846
brasil,sertoes cearenses,2002,253436,corn,253436,233785,0.922
brasil,jaguaribe,2002,33964,corn,33964,29769,0.876
brasil,centrosul cearense,2002,45039,corn,45039,42667,0.947
brasil,sul cearense,2002,129930,corn,129930,165156,1.271
brasil,oeste potiguar,2002,51902,corn,51902,42101,0.811
brasil,central potiguar,2002,14963,corn,14963,7074,0.472
brasil,agreste potiguar,2002,27666,corn,23409,13786,0.588
brasil,leste potiguar,2002,8603,corn,8565,5761,0.672
brasil,sertao paraibano,2002,78937,corn,78837,66396,0.842
brasil,borborema,2002,36250,corn,32720,10700,0.327
brasil,agreste paraibano,2002,48162,corn,36257,13787,0.38
brasil,mata paraibana,2002,1465,corn,1405,987,0.702
brasil,sertao pernambucano,2002,170600,corn,113850,66278,0.582
brasil,sao francisco pernambucano,2002,5510,corn,2700,467,0.172
brasil,agreste pernambucano,2002,85458,corn,56478,19384,0.343
brasil,mata pernambucana,2002,1505,corn,1445,546,0.377
brasil,sertao alagoano,2002,41500,corn,30695,15196,0.495
brasil,agreste alagoano,2002,21906,corn,21856,22360,1.023
brasil,leste alagoano,2002,5955,corn,5847,3130,0.535
brasil,sertao sergipano,2002,51020,corn,19501,12583,0.645
brasil,agreste sergipano,2002,42606,corn,32943,20278,0.615
brasil,leste sergipano,2002,6806,corn,6410,5519,0.86
brasil,extremo oeste baiano,2002,141943,corn,141943,627063,4.417
brasil,vale saofranciscano da bahia,2002,59481,corn,57923,23201,0.4
brasil,centro norte baiano,2002,171899,corn,100913,63144,0.625
brasil,nordeste baiano,2002,275650,corn,155360,96539,0.621
brasil,metropolitana de salvador,2002,3049,corn,3049,2196,0.72
brasil,centro sul baiano,2002,49788,corn,49788,34376,0.69
brasil,sul baiano,2002,3782,corn,3782,3224,0.852
brasil,noroeste de minas,2002,134410,corn,134410,685738,5.101
brasil,norte de minas,2002,109704,corn,108938,217859,1.999
brasil,jequitinhonha,2002,23865,corn,23805,51021,2.143
brasil,vale do mucuri,2002,4720,corn,4720,9051,1.917
brasil,triangulo mineiroalto paranaiba,2002,330668,corn,326566,1643938,5.034
brasil,central mineira,2002,37212,corn,37212,130574,3.508
brasil,metropolitana de belo horizonte,2002,55058,corn,54494,152438,2.797
brasil,vale do rio doce,2002,78386,corn,77966,206015,2.642
brasil,oeste de minas,2002,80958,corn,80903,326094,4.03
brasil,sulsudoeste de minas,2002,217533,corn,217533,942501,4.332
brasil,campo das vertentes,2002,48110,corn,48110,173146,3.598
brasil,zona da mata,2002,88996,corn,88996,269795,3.031
brasil,noroeste espiritosantense,2002,10580,corn,10580,22468,2.123
brasil,litoral norte espiritosantense,2002,9240,corn,9240,25126,2.719
brasil,central espiritosantense,2002,17270,corn,17270,46671,2.702
brasil,sul espiritosantense,2002,16550,corn,16550,43780,2.645
brasil,noroeste fluminense,2002,5061,corn,5061,10161,2.007
brasil,norte fluminense,2002,1894,corn,1894,2534,1.337
brasil,centro fluminense,2002,3065,corn,3065,7642,2.493
brasil,baixadas,2002,352,corn,352,494,1.403
brasil,sul fluminense,2002,1000,corn,1000,2338,2.338
brasil,metropolitana do rio de janeiro,2002,52,corn,52,86,1.653
brasil,sao jose do rio preto,2002,127330,corn,125718,506141,4.026
brasil,ribeirao preto,2002,145740,corn,145360,428481,2.947
brasil,aracatuba,2002,72332,corn,71532,290087,4.055
brasil,bauru,2002,77385,corn,77385,299663,3.872
brasil,araraquara,2002,23690,corn,23227,94008,4.047
brasil,piracicaba,2002,31027,corn,31027,157387,5.072
brasil,campinas,2002,107842,corn,107842,512852,4.755
brasil,presidente prudente,2002,46190,corn,46190,141506,3.063
brasil,marilia,2002,14015,corn,14015,45492,3.245
brasil,assis,2002,206463,corn,203863,475560,2.332
brasil,itapetininga,2002,172705,corn,172705,826461,4.785
brasil,macro metropolitana paulista,2002,30149,corn,30149,122408,4.06
brasil,vale do paraiba paulista,2002,12653,corn,12623,39400,3.121
brasil,litoral sul paulista,2002,1616,corn,1616,2469,1.527
brasil,metropolitana de sao paulo,2002,648,corn,648,1555,2.399
brasil,noroeste paranaense,2002,90008,corn,86670,207138,2.389
brasil,centro ocidental paranaense,2002,227768,corn,227768,633625,2.781
brasil,norte central paranaense,2002,375104,corn,370284,1371581,3.704
brasil,norte pioneiro paranaense,2002,138459,corn,138459,439254,3.172
brasil,centro oriental paranaense,2002,169450,corn,169450,1037355,6.121
brasil,oeste paranaense,2002,482145,corn,473945,1695814,3.578
brasil,sudoeste paranaense,2002,287610,corn,285360,1258724,4.411
brasil,centrosul paranaense,2002,325600,corn,325600,1568470,4.817
brasil,sudeste paranaense,2002,223410,corn,223410,1054914,4.721
brasil,metropolitana de curitiba,2002,156380,corn,156380,530941,3.395
brasil,oeste catarinense,2002,568880,corn,534983,1841110,3.441
brasil,norte catarinense,2002,82324,corn,82324,513189,6.233
