Region1,Region2,Year,Crop,Area planted,Production,Yield
assam,kamrup,2004,rice,146171.0,221275.0,1.51
assam,kamrup m,2008,rice,29465.0,52296.0,1.77
assam,kamrup m,2005,rice,19166.0,34271.0,1.79
assam,kamrup m,2010,rice,29333.0,70609.0,2.41
assam,kamrup m,2006,rice,23283.0,37209.0,1.6
assam,kamrup m,2009,rice,27807.0,56151.0,2.02
assam,kamrup m,2007,rice,25155.0,46175.0,1.84
assam,karbi anglong,1999,rice,114470.0,170444.0,1.49
assam,karbi anglong,2004,rice,129252.0,183808.0,1.42
assam,karbi anglong,2007,rice,122706.0,190463.0,1.55
