Year,Region2,Crop,Region1,Area harvested,Area planted,Production,Yield
2003,macoupin,soybeans,il,153700.0,154000.0,6609100.0,43.0
2003,madison,soybeans,ia,64600.0,65000.0,1799000.0,27.8
2003,madison,soybeans,il,124800.0,125000.0,4617600.0,37.0
2003,madison,soybeans,in,90700.0,92900.0,3653300.0,40.3
2003,madison,soybeans,ne,115100.0,116000.0,4485600.0,39.0
2003,madison,soybeans,oh,111500.0,111600.0,4903800.0,44.0
2003,mahaska,soybeans,ia,105500.0,106000.0,3990000.0,37.8
2003,mahnomen,soybeans,mn,55500.0,55700.0,1609500.0,29.0
2003,mahoning,soybeans,oh,9600.0,9700.0,385600.0,40.2
2003,maries,soybeans,mo,1500.0,1600.0,40000.0,26.7
2003,marion,soybeans,ia,72600.0,73000.0,2150000.0,29.6
2003,marion,soybeans,il,103600.0,104000.0,2900800.0,28.0
2003,marion,soybeans,in,7500.0,7600.0,310000.0,41.3
2003,marion,soybeans,ks,26400.0,28500.0,414500.0,16.0
2003,marion,soybeans,mo,61700.0,62100.0,2170000.0,35.2
2003,marion,soybeans,oh,101600.0,101700.0,4139100.0,40.7
2003,marshall,soybeans,ia,126500.0,127000.0,4089000.0,32.3
2003,marshall,soybeans,il,76900.0,77000.0,2691500.0,35.0
2003,marshall,soybeans,in,70200.0,70400.0,2441600.0,34.8
2003,marshall,soybeans,ks,109600.0,118000.0,1408700.0,13.0
2003,marshall,soybeans,mn,166800.0,167400.0,4670400.0,28.0
2003,marshall,soybeans,sd,86900.0,93000.0,2442000.0,28.1
2003,martin,soybeans,in,11300.0,11400.0,455500.0,40.3
2003,martin,soybeans,mn,190500.0,191500.0,7048500.0,37.0
2003,mason,soybeans,il,94900.0,95000.0,3985800.0,42.0
2003,massac,soybeans,il,38900.0,39000.0,1594900.0,41.0
2003,mccook,soybeans,sd,110000.0,113000.0,3190000.0,29.0
2003,mcdonough,soybeans,il,118800.0,119000.0,5227200.0,44.0
2003,mchenry,soybeans,il,73900.0,74000.0,2143100.0,29.0
2003,mchenry,soybeans,nd,8500.0,8500.0,217000.0,25.5
2003,mcintosh,soybeans,nd,48300.0,50000.0,665000.0,13.8
2003,mclean,soybeans,il,289600.0,290000.0,10425600.0,36.0
2003,mclean,soybeans,nd,5900.0,5900.0,129000.0,21.9
2003,mcleod,soybeans,mn,93900.0,94300.0,2629200.0,28.0
2003,mcpherson,soybeans,ks,26800.0,28300.0,762100.0,28.0
2003,mcpherson,soybeans,sd,37000.0,38000.0,665000.0,18.0
2003,medina,soybeans,oh,21500.0,21600.0,702100.0,32.7
2003,meeker,soybeans,mn,116100.0,117000.0,2902500.0,25.0
2003,menard,soybeans,il,71900.0,72000.0,3163600.0,44.0
2003,mercer,soybeans,il,103800.0,104000.0,3633000.0,35.0
2003,mercer,soybeans,mo,27400.0,27600.0,703000.0,25.7
2003,mercer,soybeans,oh,91600.0,93500.0,3492200.0,38.1
2003,merrick,soybeans,ne,51600.0,52000.0,2485400.0,48.2
