"","Data Source Organization","Data Source Document","Country","FNID_mod","Admin 1","Admin2_mod","Pop_group","Year","Season","Crop","DNL Name of Crop in FDW","DNL Name of Crop in source","DNL Original harvest year","AreaPlanted_ha","QuantityProduced_mt","DNLQuantityProduced","Yield_mt_ha"
"84","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20308","Amhara","Wag Himra",NA,2001,"Meher","01122","Maize","Maize","2000/2001",1530,789,NA,0.515686274509804
"85","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20309","Amhara","Awi",NA,2001,"Meher","01122","Maize","Maize","2000/2001",39070,74909,NA,1.91730227796263
"86","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20310","Amhara","Oromia",NA,2001,"Meher","01122","Maize","Maize","2000/2001",14940,21635,NA,1.44812583668005
"87","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20403","Oromia","Ilubabor",NA,2001,"Meher","01122","Maize","Maize","2000/2001",75090,154901,NA,2.06287122120123
"88","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20404","Oromia","Jimma",NA,2001,"Meher","01122","Maize","Maize","2000/2001",119050,286202,NA,2.40404871902562
"89","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20406","Oromia","North Shewa",NA,2001,"Meher","01122","Maize","Maize","2000/2001",3410,4043,NA,1.18563049853372
"90","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20409","Oromia","West Hararge",NA,2001,"Meher","01122","Maize","Maize","2000/2001",80450,124384,NA,1.5461031696706
"91","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20410","Oromia","East Hararge",NA,2001,"Meher","01122","Maize","Maize","2000/2001",62540,119698,NA,1.91394307643108
"92","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20501","Somali","Shinile",NA,2001,"Meher","01122","Maize","Maize","2000/2001",110,90,NA,0.818181818181818
"93","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20502","Somali","Jijiga",NA,2001,"Meher","01122","Maize","Maize","2000/2001",22140,17307,NA,0.781707317073171
"94","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20702","SNNPR","Hadiya",NA,2001,"Meher","01122","Maize","Maize","2000/2001",28550,47418,NA,1.66087565674256
"95","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20704","SNNPR","Sidama",NA,2001,"Meher","01122","Maize","Maize","2000/2001",48130,77703,NA,1.61444005817577
"96","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20705","SNNPR","Gedeo",NA,2001,"Meher","01122","Maize","Maize","2000/2001",9220,16487,NA,1.78817787418655
"97","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20707","SNNPR","South Omo",NA,2001,"Meher","01122","Maize","Maize","2000/2001",14890,18383,NA,1.23458697112156
"98","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20711","SNNPR","Bench Maji",NA,2001,"Meher","01122","Maize","Maize","2000/2001",12960,27643,NA,2.1329475308642
"99","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20712","SNNPR","Yem",NA,2001,"Meher","01122","Maize","Maize","2000/2001",2060,3816,NA,1.85242718446602
"100","CSA, Ethiopia","Agricultural Sample Survey, 2000-2001, Ethiopia","ET","ET2014A20722","SNNPR","Segen",NA,2001,"Meher","01122","Maize","Maize","2000/2001",6490,NA,NA,NA
"101","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET1994A20730","SNNPR","North Omo",NA,2004,"Meher","01122","Maize","Maize","2003/2004",44625,NA,NA,NA
"102","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET1994A20731","SNNPR","Keficho Shekicho",NA,2004,"Meher","01122","Maize","Maize","2003/2004",13768,25401.2,NA,1.84494479953515
"103","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2001A20106","Tigray","West Tigray",NA,2004,"Meher","01122","Maize","Maize","2003/2004",22348,38302.9,NA,1.71392965813496
"104","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2001A20426","Oromia","Borena",NA,2004,"Meher","01122","Maize","Maize","2003/2004",40560,72152.2,NA,1.77890039447732
"105","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2001A20427","Oromia","West Shewa",NA,2004,"Meher","01122","Maize","Maize","2003/2004",68298,134362.2,NA,1.967293332162
"106","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2001A20509","Somali","Liben",NA,2004,"Meher","01122","Maize","Maize","2003/2004",4610,536,NA,0.116268980477223
"107","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2001A20727","SNNPR","Gurage",NA,2004,"Meher","01122","Maize","Maize","2003/2004",44327,102249.5,NA,2.306709229138
"108","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2001A20729","SNNPR","Kembata Alaba Tembaro
",NA,2004,"Meher","01122","Maize","Maize","2003/2004",15547,NA,NA,NA
"109","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2001A212r","Gambela","Gambela Regroup",NA,2004,"Meher","01122","Maize","Maize","2003/2004",5967,NA,NA,NA
"110","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2003A20423","Oromia","East Wellega",NA,2004,"Meher","01122","Maize","Maize","2003/2004",87690,179095.3,NA,2.04236857110275
"111","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2003A20424","Oromia","West Wellega",NA,2004,"Meher","01122","Maize","Maize","2003/2004",92029,179523.9,NA,1.95073183453042
"112","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2003A204r","Oromia","Oromia Regroup",NA,2004,"Meher","01122","Maize","Maize","2003/2004",214188,478215.2,NA,2.23268903953536
"113","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2003A206r","Benshangul Gumuz","Benshangul Gumuz Regroup",NA,2004,"Meher","01122","Maize","Maize","2003/2004",18910,27565.5,NA,1.45772078265468
"114","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2007A20313","Amhara","South Wollo",NA,2004,"Meher","01122","Maize","Maize","2003/2004",10164,14163,NA,1.39344746162928
"115","CSA, Ethiopia","Agricultural Sample Survey, 2003-2004, Ethiopia","ET","ET2007A20608","Benshangul Gumuz","Metekel",NA,2004,"Meher","01122","Maize","Maize","2003/2004",6768,16445.9,NA,2.42994976359338
