State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Jonglei ,Nyirol ,2010,corn,"3,795","2,429",0.6400621854496588,jonglei,nyirol
Jonglei ,Pibor ,2010,corn,"6,050","6,292",1.0399993388539033,jonglei,pibor
Jonglei ,Pochalla ,2010,corn,"5,007","5,207",1.0399432805416309,jonglei,pochalla
Jonglei ,Twic East ,2010,corn,"1,389",667,480.1670866028364,jonglei,twic east
Jonglei ,Uror ,2010,corn,"3,188","1,530",0.4799410307079451,jonglei,uror
Jonglei ,Akobo ,2011,corn,"6,834","5,467",0.7999736614916375,jonglei,akobo
Jonglei ,Ayod ,2011,corn,966,541,0.5600414534118578,jonglei,ayod
Jonglei ,Bor South ,2011,corn,"4,263","2,729",0.6401679528981259,jonglei,bor south
Jonglei ,Canal/Pigi ,2011,corn,"2,222","1,120",0.50407272399982,jonglei,canalpigi
Jonglei ,Duk ,2011,corn,0,0,1.0,jonglei,duk
Jonglei ,Fangak ,2011,corn,0,0,1.0,jonglei,fangak
Jonglei ,Nyirol ,2011,corn,"3,909","2,502",0.6400706044869663,jonglei,nyirol
Jonglei ,Pibor ,2011,corn,"8,226","7,239",0.8800160464861841,jonglei,pibor
Jonglei ,Pochalla ,2011,corn,"5,894","4,715",0.7999694609864101,jonglei,pochalla
Jonglei ,Twic East ,2011,corn,"6,523","2,609",0.3999785378117767,jonglei,twic east
Jonglei ,Uror ,2011,corn,"7,662","4,904",0.6400464624580728,jonglei,uror
Jonglei ,Akobo ,2012,corn,"5,247","4,198",0.8000800442148998,jonglei,akobo
Jonglei ,Ayod ,2012,corn,"1,029",576,559.7124672043534,jonglei,ayod
Jonglei ,Bor South ,2012,corn,"6,534","4,182",0.6400422399412314,jonglei,bor south
Jonglei ,Canal/Pigi ,2012,corn,"1,506",759,503.9506672863688,jonglei,canalpigi
Jonglei ,Duk ,2012,corn,"2,444","1,369",0.5601652960189845,jonglei,duk
Jonglei ,Fangak ,2012,corn,"1,321",740,560.1393535689955,jonglei,fangak
Jonglei ,Nyirol ,2012,corn,"3,688","2,360",0.6399229955803801,jonglei,nyirol
Jonglei ,Pibor ,2012,corn,"7,849","5,652",0.7200952975500375,jonglei,pibor
Jonglei ,Pochalla ,2012,corn,"6,625","5,300",0.8000030188223574,jonglei,pochalla
Jonglei ,Twic East ,2012,corn,"6,835","3,828",0.5600649588155258,jonglei,twic east
Jonglei ,Uror ,2012,corn,"10,548","5,485",0.5200083427347105,jonglei,uror
Jonglei ,Akobo ,2013,corn,"5,615","4,492",0.8000035618243664,jonglei,akobo
Jonglei ,Ayod ,2013,corn,"1,008",565,560.4603709949411,jonglei,ayod
Jonglei ,Bor South ,2013,corn,"8,567","5,825",0.6799383688762826,jonglei,bor south
Jonglei ,Canal/Pigi ,2013,corn,"1,214",612,504.07717650934853,jonglei,canalpigi
Jonglei ,Duk ,2013,corn,"2,212","1,239",0.5601464671579042,jonglei,duk
Jonglei ,Fangak ,2013,corn,"2,336","1,308",0.559950344591413,jonglei,fangak
Jonglei ,Nyirol ,2013,corn,"4,168","2,667",0.6398838799452988,jonglei,nyirol
Jonglei ,Pibor ,2013,corn,"7,964","6,371",0.7999773985761103,jonglei,pibor
Jonglei ,Pochalla ,2013,corn,"5,994","5,275",0.8800487145693265,jonglei,pochalla
Jonglei ,Twic East ,2013,corn,"6,287","3,521",0.5600515340936203,jonglei,twic east
Jonglei ,Uror ,2013,corn,"9,034","4,698",0.5200407345502042,jonglei,uror
Jonglei ,Akobo ,2014,corn,"3,949","2,212",0.5601529462409157,jonglei,akobo
Jonglei ,Ayod ,2014,corn,938,525,0.5597015394774478,jonglei,ayod
Jonglei ,Bor South ,2014,corn,"2,208","1,589",0.719668493274761,jonglei,bor south
Jonglei ,Canal/Pigi ,2014,corn,"2,157","1,208",0.5600574845857864,jonglei,canalpigi
Jonglei ,Duk ,2014,corn,0,0,1.0,jonglei,duk
Jonglei ,Fangak ,2014,corn,"2,586","1,448",0.5599551448126522,jonglei,fangak
Jonglei ,Nyirol ,2014,corn,"3,795","2,429",0.6400621854496588,jonglei,nyirol
Jonglei ,Pibor ,2014,corn,"6,050","6,292",1.0399993388539033,jonglei,pibor
Jonglei ,Pochalla ,2014,corn,"5,007","5,207",1.0399432805416309,jonglei,pochalla
Jonglei ,Twic East ,2014,corn,"1,389",667,480.1670866028364,jonglei,twic east
Jonglei ,Uror ,2014,corn,"3,188","1,530",0.4799410307079451,jonglei,uror
Jonglei ,Akobo ,2015,corn,"6,834","5,467",0.7999736614916375,jonglei,akobo
Jonglei ,Ayod ,2015,corn,966,541,0.5600414534118578,jonglei,ayod
